full_text,created_at
"RT @21WIRE: Some truth for once? UK Science Advisor says #vaccine efficacy is 'not certainty'. However, as with soldiers - looks like #NHS…",2020-04-20 22:47:00
RT @stephenkb: There are two interpretations of the five tests - the first is that they cannot be met other than via something like Taiwan…,2020-04-20 22:10:15
"RT @ShantiMMathew: In light of this global pandemic could @BBCR2 please bring back @MrJasonRBrown Palladium concert? Other than leadership,…",2020-04-20 22:17:00
He may as well team up with Gates &amp; Co and administer a plan to depopulate the world then. Vaccine anyone? https://t.co/81hFiI8k7Q,2020-04-20 21:59:06
"RT @DailyMailUK: Don't rely on vaccine to end coronavirus crisis because it is a 'long shot' and will 'take time', Sir Patrick Vallance war…",2020-04-20 22:25:10
"RT @RealNatalieRowe: 🤔.. Yeah, the plot thickens.  2019.  Guess you saw the future ... NO CORONA vaccine is going into my blood stream. ⁦@M…",2020-04-20 21:46:57
"RT @FergalBowers: Trials of a vaccine that could protect against Covid-19 are to start in the UK. Work on the vaccine, developed by clinica…",2020-04-20 22:52:45
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:08:57
"RT @RealNatalieRowe: 🤔.. Yeah, the plot thickens.  2019.  Guess you saw the future ... NO CORONA vaccine is going into my blood stream. ⁦@M…",2020-04-20 22:32:02
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:31:26
"Top #coronavirus/#covid19/#WuhanVirus researcher tweeted that doctors might let blacks die of COVID-19. Nice huh?
-⁦@DailyMail⁩ 
This is who’s working on a vaccine?
You gotta be shit’n me. https://t.co/xQYWmvtyk1",2020-04-20 22:38:32
@kevinhaddad08 @united__UK Screw the vaccine we have a cheap cure that works 98% I’ll take that over there poison,2020-04-20 22:51:35
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:53:27
"RT @eavi2020: EAVI2020 coordinator, Prof Robin Shattock @imperialcollege and team secures funding to move #COVID vaccine towards human tria…",2020-04-20 23:06:37
RT @BBCBreakfast: Professor Sarah Gilbert tells #BBCBreakfast it has taken under four months to get a #coronavirus vaccine in clinical deve…,2020-04-20 22:35:38
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 22:21:20
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:29:18
"RT @FergalBowers: Trials of a vaccine that could protect against Covid-19 are to start in the UK. Work on the vaccine, developed by clinica…",2020-04-20 22:17:35
@MFenderesky @gpollara @PHE_uk @NDMOxford @NIHRresearch Good question. Developed by Screaton lab. I'm told more reliable by those using for vaccine studies and plans underway to make high throughput. Not seen the data though!,2020-04-20 23:01:28
"@Rectitude20 @dkingpower7 The fact that there were only 4 recorded cases last year in the UK, shows the minimal need for the vaccine. Time to stop it. 2/2",2020-04-20 22:38:08
"5 - Sweden doing fine -- doing better than the UK, France, Italy, Spain, Switzerland.
Building ""herd immunity"" is the only way to get rid of a virus when there is no vaccine.",2020-04-20 22:16:57
RT @truthytruth123: @YardleyShooting Its because Mike Bill Gates paid them 5.8 million pounds in 2019 to totally brainwash the UK public in…,2020-04-20 22:05:22
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:41:58
"RT @AnGobanSaor: BREAKING:
Novak Djokovic changes his name by deed poll to Antivax Djokovic.
https://t.co/rCLObQWlQx",2020-04-20 22:59:26
"No será pronto pero hay esperanza. 

Oxford COVID-19 vaccine programme opens for clinical trial recruitment | University of Oxford https://t.co/cTKJ2qHdNN",2020-04-20 22:45:39
@KeithAllanDuh https://t.co/nP7faWqwpC ITs abit like Z NATION MURPHYS VACCINATION good if it works.. Jan Luke and Family.. XX 💝 💜 :-) Worcester Worcestershire UK,2020-04-20 21:46:13
RT @marcelobrignoni: Bill Gates y su sociedad con Oxford Biomedica. La filantropía de la facturación  https://t.co/RSV5gkbWKf,2020-04-20 22:53:45
"RT @OxfordVacGroup: A multi-site project, called ‘What’s the STORY?’,led by Prof Matthew Snape from the Oxford Vaccine Group, has received…",2020-04-20 23:07:33
"RT @ActivistPost: They plan to ruin the best tennis player in the world b/c he opposes mandatory vaccines.

'""I am opposed to vaccination a…",2020-04-20 22:01:03
RT @lindayueh: Gov chief scientific adviser Vallance: “All new vaccines that come into development are long shots. #Coronavirus will be no…,2020-04-20 21:50:15
RT @CGTCatapult: We welcome Friday's announcement from Business Secretary @AlokSharma_RDG of £14m to rapidly progress #COVID19 treatments a…,2020-04-20 22:54:38
RT @UHSFT: Southampton researchers set to begin #COVID19 vaccine trials https://t.co/eU2DhRuJXo https://t.co/vOFlf9lAlx,2020-04-20 22:11:47
@Tony_Yorkshire @YorkshireTea If they were able to put a bit of @YorkshireTea in the vaccine most of the UK would be immune from any virus.,2020-04-20 22:23:35
"In the absence of a vaccine &amp; of post-infection immunity, the virus will go on playing out, until either (a) all its hosts are dead or (b) its unable to transmit to a new host because of lockdown. On that trajectory, the UK’s fight against the epidemic may have become a long one",2020-04-20 22:25:51
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:10:29
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:54:40
"RT @UoSMedia: If you are:

 ☑️ healthy
 ☑️ aged 18-55
 ☑️ based in the Southampton area

you could help trial a safe vaccine against #COVID…",2020-04-20 22:31:12
"UK’s coronavirus science advice won’t be published until pandemic ends (to hide the fact that it is unmitigated bollocks simply designed to irreversibly transform the country. When we’ve done that – we’ll tell you what the ‘advice’ was) 

https://t.co/4XKdqYeGft",2020-04-20 23:04:01
"@paulhowey @BeachMilk Paul, this virus has been a hoax from the start. https://t.co/EsDHOmqAdx
Since 2019 he has been banging on about banning anti vacc publicity. Because he probably got his 75% shares in a vaccine Pharma about then. Check him out at companies house records. A conflict of interest?",2020-04-20 21:46:52
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:51:03
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 22:08:45
"This is what a vaccine manufacturing centre looks like ... VMIC at Harwell Science &amp; Technology park , Oxford UK...&amp; I’m helping to design and build it .... it may save millions of Lives when it makes the Covid 19 vaccine ( when it’s developed ) 🦠🦠🦠🦠🦠 https://t.co/eTPt4iMdS8",2020-04-20 21:56:30
